publication_title,print_identifier,title_url,primary_subject,full_coverage,0,1,2,3,4,5,6,7,8,9,date_first_issue_online,date_last_issue_online,parent_publication_title_id,preceding_publication_title_id,
Legislative Studies Quarterly,0362-9805,http://www.jstor.org/journal/legistudquar,Political Science,1976-02-01 - 2012-11-01,Political Science,Social Sciences,,,,,,,,,2/1/1976 0:00,2012,,,
Leviathan,0340-0425,http://www.jstor.org/journal/leviathan,Political Science,1973-01-01 - 2014-01-01,Political Science,Social Sciences,Sociology,,,,,,,,1/1/1973 0:00,2014,,,
Midwest Journal of Political Science,0026-3397,http://www.jstor.org/journal/midwjpoliscie,Political Science,1957-05-01 - 1972-11-01,American Studies,Area Studies,Political Science,Social Sciences,,,,,,,5/1/1957 0:00,1972,amerjpoliscie,,
Newsletter (Conference Group on French Politics and Society),2472-2499,http://www.jstor.org/journal/newsconfgroufren,Political Science,1983-01-01 - 1984-09-01,Anthropology,Political Science,Social Sciences,Sociology,,,,,,,1/1/1983 0:00,1984,frenpolisoci,,
Newsletter of PEGS,2157-2968,http://www.jstor.org/journal/newspegs,Political Science,1991-08-01 - 1995-01-01,Political Science,Social Sciences,,,,,,,,,8/1/1991 0:00,1995,goodsociety,,
Perspectives,1210-762X,http://www.jstor.org/journal/perspectives,Political Science,1993-01-01 - 2014-01-01,Political Science,Social Sciences,,,,,,,,,1/1/1993 0:00,2014,,,
Perspectives on Politics,1537-5927,http://www.jstor.org/journal/perspoli,Political Science,2003-03-01 - 2014-12-01,Political Science,Social Sciences,,,,,,,,,3/1/2003 0:00,2014,,,
Political Analysis,1047-1987,http://www.jstor.org/journal/polianalysis,Political Science,1989-01-01 - 2014-10-01,Political Science,Social Sciences,,,,,,,,,1/1/1989 0:00,2014,,polimethod,
Political Behavior,0190-9320,http://www.jstor.org/journal/polibeha,Political Science,1979-04-01 - 2014-12-01,Political Science,Social Sciences,Sociology,,,,,,,,4/1/1979 0:00,2014,,,
Political Methodology,0162-2021,http://www.jstor.org/journal/polimethod,Political Science,1974-01-01 - 1985-01-01,Political Science,Social Sciences,,,,,,,,,1/1/1974 0:00,1985,polianalysis,,
Political Psychology,0162-895X,http://www.jstor.org/journal/polipsyc,Political Science,1979-04-01 - 2014-12-01,Political Science,Psychology,Social Sciences,,,,,,,,4/1/1979 0:00,2014,,,
Political Research Quarterly,1065-9129,http://www.jstor.org/journal/poliresequar,Political Science,1993-03-01 - 2016-12-01,Political Science,Social Sciences,,,,,,,,,3/1/1993 0:00,2016,,westpoliquar,
Political Science Quarterly,0032-3195,http://www.jstor.org/journal/polisciequar,Political Science,1886-03-01 - 2012-12-01,Political Science,Social Sciences,,,,,,,,,1886-03-01,2012,,,
Political Theory,0090-5917,http://www.jstor.org/journal/politicaltheory,Political Science,1973-02-01 - 2014-12-01,Humanities,Philosophy,Political Science,Social Sciences,,,,,,,2/1/1973 0:00,2014,,,
Politics and the Life Sciences,0730-9384,http://www.jstor.org/journal/polilifescie,Political Science,1982-07-01 - 2014-10-01,Biological Sciences,Health Sciences,Medicine & Allied Health,Political Science,Science & Mathematics,Social Sciences,,,,,7/1/1982 0:00,2014,,,
Polity,0032-3497,http://www.jstor.org/journal/polity,Political Science,1968-10-01 - 2014-10-01,Political Science,Social Sciences,,,,,,,,,10/1/1968 0:00,2014,,,
Presidential Studies Quarterly,0360-4918,http://www.jstor.org/journal/presstudq,Political Science,1974-04-01 - 2010-12-01,Political Science,Social Sciences,,,,,,,,,4/1/1974 0:00,2010,,centerhousebull,
Proceedings of the Academy of Political Science,0065-0684,http://www.jstor.org/journal/procacadpoliscie,Political Science,1928-06-01 - 1991-01-01,Political Science,Social Sciences,,,,,,,,,6/1/1928 0:00,1991,,procacadpolisci2,
PS,0030-8269,http://www.jstor.org/journal/ps,Political Science,1968-01-01 - 1987-10-01,Political Science,Social Sciences,,,,,,,,,1/1/1968 0:00,1987,pspolisciepoli,,
PS: Political Science and Politics,1049-0965,http://www.jstor.org/journal/pspolisciepoli,Political Science,1988-01-01 - 2014-10-01,Political Science,Social Sciences,,,,,,,,,1/1/1988 0:00,2014,,ps,
Public Opinion Quarterly,0033-362X,http://www.jstor.org/journal/publopinquar,Political Science,1937-01-01 - 2012-12-01,Political Science,Social Sciences,Sociology,,,,,,,,1/1/1937 0:00,2012,,,
Publius,0048-5950,http://www.jstor.org/journal/publius,Political Science,1971-01-01 - 2012-10-01,Political Science,Public Policy & Administration,Social Sciences,,,,,,,,1/1/1971 0:00,2012,,,
Review of Politics,0034-6705,http://www.jstor.org/journal/reviewpolitics,Political Science,1939-01-01 - 2014-10-01,Political Science,Social Sciences,,,,,,,,,1/1/1939 0:00,2014,,,
SEER: Journal for Labour and Social Affairs in Eastern Europe,1435-2869,http://www.jstor.org/journal/seerjlabosoci,Political Science,1998-02-01 - 2014-01-01,Political Science,Social Sciences,,,,,,,,,2/1/1998 0:00,2014,,,
Social Justice,1043-1578,http://www.jstor.org/journal/socijust,Political Science,1988-04-01 - 2015-01-01,Political Science,Social Sciences,,,,,,,,,4/1/1988 0:00,2015,,contmarx,
State & Local Government Review,0160-323X,http://www.jstor.org/journal/statlocagoverevi,Political Science,1976-01-01 - 2014-12-01,American Studies,Area Studies,Political Science,Public Policy & Administration,Social Sciences,,,,,,1/1/1976 0:00,2014,,georgoverevi,
State Crime Journal,2046-6056,http://www.jstor.org/journal/statecrime,Political Science,2012-04-01 - 2014-10-01,Anthropology,Criminology & Criminal Justice,International Relations,Law,Law,Political Science,Social Sciences,Sociology,,,4/1/2012 0:00,2014,,,
State Politics & Policy Quarterly,1532-4400,http://www.jstor.org/journal/stapolpolicyq,Political Science,2001-04-01 - 2014-12-01,American Studies,Area Studies,Political Science,Social Sciences,,,,,,,4/1/2001 0:00,2014,,,
Synthesis,0193-869X,http://www.jstor.org/journal/synthesis,Political Science,1976-07-01 - 1979-10-01,Political Science,Social Sciences,,,,,,,,,7/1/1976 0:00,1979,crimsocijust,issueincrim,
Theoria: A Journal of Social and Political Theory,0040-5817,http://www.jstor.org/journal/theoria,Political Science,1947-01-01 - 2014-12-01,Political Science,Social Sciences,,,,,,,,,1/1/1947 0:00,2014,,,
Third World Quarterly,0143-6597,http://www.jstor.org/journal/thirworlquar,Political Science,1979-01-01 - 2010-01-01,Political Science,Social Sciences,,,,,,,,,1/1/1979 0:00,2010,,,
Western Political Quarterly,0043-4078,http://www.jstor.org/journal/westpoliquar,Political Science,1948-03-01 - 1992-12-01,Political Science,Social Sciences,,,,,,,,,3/1/1948 0:00,1992,poliresequar,,
Wilson Quarterly (1976-),0363-3276,http://www.jstor.org/journal/wilsonq,Political Science,1976-10-01 - 2014-01-01,Political Science,Social Sciences,,,,,,,,,10/1/1976 0:00,2014,,,
World Affairs,0043-8200,http://www.jstor.org/journal/worldaffairs,Political Science,1932-06-01 - 2015-10-01,International Relations,Political Science,Social Sciences,,,,,,,,6/1/1932 0:00,2015,,advopeacjust,
World Policy Journal,0740-2775,http://www.jstor.org/journal/worldpolicyj,Political Science,1983-10-01 - 2012-12-01,International Relations,Political Science,Social Sciences,,,,,,,,10/1/1983 0:00,2012,,,
World Politics,0043-8871,http://www.jstor.org/journal/worldpolitics,Political Science,1948-10-01 - 2012-10-01,International Relations,Political Science,Social Sciences,,,,,,,,10/1/1948 0:00,2012,,,
World Today,0043-9134,http://www.jstor.org/journal/worldtoday,Political Science,1945-07-01 - 2014-02-01,Political Science,Social Sciences,,,,,,,,,7/1/1945 0:00,2014,,bullintenews,
Bulletin of the Population and Development Studies Center,2508-2027,http://www.jstor.org/journal/bulpopdevstucen,Population Studies,1972-04-01 - 1989-01-01,Population Studies,Social Sciences,Sociology,,,,,,,,4/1/1972 0:00,1989,korejpopudeve,,
Demographic Research,1435-9871,http://www.jstor.org/journal/demorese,Population Studies,1999-07-01 - 2018-01-01,Population Studies,Social Sciences,,,,,,,,,7/1/1999 0:00,2018,,,
Demography,0070-3370,http://www.jstor.org/journal/demography,Population Studies,1964-01-01 - 2014-12-01,Population Studies,Social Sciences,,,,,,,,,1/1/1964 0:00,2014,,,
Development and Society,1598-8074,http://www.jstor.org/journal/deveandsoci,Population Studies,1998-06-01 - 2017-12-01,Population Studies,Social Sciences,Sociology,,,,,,,,6/1/1998 0:00,2017,,korejpopudeve,
European Demographic Information Bulletin,0046-2756,http://www.jstor.org/journal/eurodemoinfobull,Population Studies,1970-01-01 - 1983-01-01,Population Studies,Social Sciences,,,,,,,,,1/1/1970 0:00,1983,eurojpopu,,
Family Planning Perspectives,0014-7354,http://www.jstor.org/journal/famiplanpers,Population Studies,1969-04-01 - 2001-11-01,Population Studies,Social Sciences,,,,,,,,,4/1/1969 0:00,2001,perssexureprheal,,
Genus,0016-6987,http://www.jstor.org/journal/genus,Population Studies,1934-06-12 - 2014-05-01,Population Studies,Social Sciences,,,,,,,,,6/12/1934 0:00,2014,,,
Health Transition Review,1036-4005,http://www.jstor.org/journal/healtranrev,Population Studies,1991-04-01 - 1997-10-01,Population Studies,Social Sciences,,,,,,,,,4/1/1991 0:00,1997,,,
In Defense of the Alien,0275-634X,http://www.jstor.org/journal/indefensealien,Population Studies,1978-01-01 - 2003-01-01,Population Studies,Social Sciences,,,,,,,,,1/1/1978 0:00,2003,,,
International Family Planning Digest,0362-4056,http://www.jstor.org/journal/intefamiplandige,Population Studies,1975-02-01 - 1977-12-01,Population Studies,Social Sciences,,,,,,,,,2/1/1975 0:00,1977,intefamiplanpers,,
International Family Planning Perspectives,0190-3187,http://www.jstor.org/journal/intefamiplanper2,Population Studies,1979-03-01 - 2008-12-01,Population Studies,Social Sciences,,,,,,,,,3/1/1979 0:00,2008,intsexrephea,intefamiplanpers,
International Family Planning Perspectives and Digest,0162-2749,http://www.jstor.org/journal/intefamiplanpers,Population Studies,1978-04-01 - 1978-12-01,Population Studies,Social Sciences,,,,,,,,,4/1/1978 0:00,1978,intefamiplanper2,intefamiplandige,
International Migration Review,0197-9183,http://www.jstor.org/journal/intemigrrevi,Population Studies,1966-10-01 - 2012-12-01,Population Studies,Social Sciences,,,,,,,,,10/1/1966 0:00,2012,,intemigrdige,
International Perspectives on Sexual and Reproductive Health,1944-0391,http://www.jstor.org/journal/intsexrephea,Population Studies,2009-03-01 - 2015-12-01,Population Studies,Social Sciences,,,,,,,,,3/1/2009 0:00,2015,,intefamiplanper2,
Journal of Population,0146-1052,http://www.jstor.org/journal/jpopulation,Population Studies,1978-04-01 - 1979-12-01,Population Studies,Social Sciences,,,,,,,,,4/1/1978 0:00,1979,populationenviro,,
Journal of Population Economics,0933-1433,http://www.jstor.org/journal/jpopuecon,Population Studies,1988-06-01 - 2014-10-01,Business,Business & Economics,Economics,Population Studies,Social Sciences,,,,,,6/1/1988 0:00,2014,,,
Journal of Population Research,1443-2447,http://www.jstor.org/journal/jpopurese,Population Studies,2000-05-01 - 2014-01-01,Population Studies,Social Sciences,,,,,,,,,5/1/2000 0:00,2014,,jpopres,
Journal of the Australian Population Association,0814-5725,http://www.jstor.org/journal/jpopres,Population Studies,1984-09-01 - 1999-05-01,Population Studies,Social Sciences,,,,,,,,,9/1/1984 0:00,1999,jpopurese,,
Korea Journal of Population and Development,1225-3804,http://www.jstor.org/journal/korejpopudeve,Population Studies,1990-07-01 - 1997-12-01,Population Studies,Social Sciences,Sociology,,,,,,,,7/1/1990 0:00,1997,deveandsoci,bulpopdevstucen,
Perspectives on Sexual and Reproductive Health,1538-6341,http://www.jstor.org/journal/perssexureprheal,Population Studies,2002-01-01 - 2012-12-01,Population Studies,Social Sciences,,,,,,,,,1/1/2002 0:00,2012,,famiplanpers,
"Population (English Edition, 2002-)",1634-2941,http://www.jstor.org/journal/popuengledit2002,Population Studies,2002-01-01 - 2015-10-01,Population Studies,Social Sciences,,,,,,,,,1/1/2002 0:00,2015,,popuenglsele,
Population and Development Review,0098-7921,http://www.jstor.org/journal/popudeverevi,Population Studies,1975-09-01 - 2015-12-01,Population Studies,Social Sciences,,,,,,,,,9/1/1975 0:00,2015,,,
Population and Environment,0199-0039,http://www.jstor.org/journal/populationenviro,Population Studies,1980-04-01 - 2014-12-01,Population Studies,Social Sciences,,,,,,,,,4/1/1980 0:00,2014,,jpopulation,
Population Index,0032-4701,http://www.jstor.org/journal/populationindex,Population Studies,1937-01-01 - 1999-12-01,Population Studies,Social Sciences,,,,,,,,,1/1/1937 0:00,1999,,populite,
Population Research and Policy Review,0167-5923,http://www.jstor.org/journal/poprespolrev,Population Studies,1982-01-01 - 2014-12-01,Population Studies,Social Sciences,,,,,,,,,1/1/1982 0:00,2014,,,
Population Studies,0032-4728,http://www.jstor.org/journal/popustud,Population Studies,1947-06-01 - 2014-11-01,Population Studies,Social Sciences,,,,,,,,,6/1/1947 0:00,2014,,,
Population: An English Selection,1169-1018,http://www.jstor.org/journal/popuenglsele,Population Studies,1989-09-01 - 2001-01-01,Population Studies,Social Sciences,,,,,,,,,9/1/1989 0:00,2001,popuengledit2002,,
Southern African Journal of Demography,1682-4482,http://www.jstor.org/journal/soutafrijourdemo,Population Studies,1987-07-01 - 2016-06-01,African Studies,Area Studies,Population Studies,Social Sciences,,,,,,,7/1/1987 0:00,2016,,,
Studies in Family Planning,0039-3665,http://www.jstor.org/journal/studfamiplan,Population Studies,1963-07-01 - 2015-12-01,Population Studies,Social Sciences,,,,,,,,,7/1/1963 0:00,2015,,,
Vienna Yearbook of Population Research,1728-4414,http://www.jstor.org/journal/vienyearpopurese,Population Studies,2003-01-01 - 2015-01-01,Population Studies,Social Sciences,,,,,,,,,1/1/2003 0:00,2015,,demoinfo,
American Imago,0065-860X,http://www.jstor.org/journal/americanimago,Psychology,1939-11-01 - 2012-12-01,Psychology,Social Sciences,,,,,,,,,11/1/1939 0:00,2012,,,
American Journal of Psychology,0002-9556,http://www.jstor.org/journal/amerjpsyc,Psychology,1887-11-01 - 2014-11-26,Psychology,Social Sciences,,,,,,,,,1887-11-01,2014,,,
Behavioral Disorders,0198-7429,http://www.jstor.org/journal/behadiso,Psychology,1975-07-01 - 2015-05-01,Education,Psychology,Social Sciences,,,,,,,,7/1/1975 0:00,2015,,,
Child Development,0009-3920,http://www.jstor.org/journal/childdevelopment,Psychology,1930-03-01 - 2012-11-01,Education,Psychology,Social Sciences,,,,,,,,3/1/1930 0:00,2012,,,
"Children, Youth, and Environments",1546-2250,https://www.jstor.org/journal/chilyoutenvi,Psychology,2000-01-01 - 2018-03-31,Education,,,,,,,,,,1/1/2003 0:00,2018,,,
Children's Environments,2051-0780,http://www.jstor.org/journal/chilenvi,Psychology,1992-01-01 - 1995-12-01,Education,Psychology,Social Sciences,Sociology,,,,,,,1/1/1992 0:00,1995,chilyoutenvi,chilenviquar,
Children's Environments Quarterly,0886-0505,http://www.jstor.org/journal/chilenviquar,Psychology,1984-04-01 - 1991-01-01,Education,Psychology,Social Sciences,Sociology,,,,,,,4/1/1984 0:00,1991,chilenvi,,
Current Directions in Psychological Science,0963-7214,http://www.jstor.org/journal/curdirpsychscie,Psychology,1992-02-01 - 2012-12-01,Psychology,Social Sciences,,,,,,,,,2/1/1992 0:00,2012,,,
Gestalt Review,1084-8657,http://www.jstor.org/journal/gestaltreview,Psychology,1997-01-01 - 2018-09-01,Psychology,Social Sciences,,,,,,,,,1/1/1997 0:00,2018,,,
Group,0362-4021,http://www.jstor.org/journal/group,Psychology,1977-04-01 - 2014-12-01,Psychology,Social Sciences,Social Work,,,,,,,,4/1/1977 0:00,2014,,,
Journal of Consumer Psychology,1057-7408,http://www.jstor.org/journal/jconspsyc,Psychology,1992-01-01 - 2004-01-01,Psychology,Social Sciences,,,,,,,,,1/1/1992 0:00,2004,,,
Journal of Mind and Behavior,0271-0137,http://www.jstor.org/journal/jmindbehavior,Psychology,1980-04-01 - 2014-10-01,Psychology,Social Sciences,,,,,,,,,4/1/1980 0:00,2014,,,
Jung Journal: Culture & Psyche,1934-2039,http://www.jstor.org/journal/jungjcultpsyc,Psychology,2007-02-01 - 2010-11-01,Psychology,Social Sciences,,,,,,,,,2/1/2007 0:00,2010,,sanfranjunginstj,
Merrill-Palmer Quarterly,0272-930X,http://www.jstor.org/journal/merrpalmquar1982,Psychology,1982-01-01 - 2014-10-25,Education,Psychology,Social Sciences,Social Work,,,,,,,1/1/1982 0:00,2014,,merrpalmquarbeha,
Merrill-Palmer Quarterly of Behavior and Development,0026-0150,http://www.jstor.org/journal/merrpalmquarbeha,Psychology,1958-10-01 - 1981-10-01,Education,Psychology,Social Sciences,Social Work,,,,,,,10/1/1958 0:00,1981,merrpalmquar1982,merrpalmquar1954,
Monographs of the Society for Research in Child Development,0037-976X,http://www.jstor.org/journal/monosociresechil,Psychology,1936-01-01 - 2012-01-01,Education,Psychology,Social Sciences,,,,,,,,1/1/1936 0:00,2012,,,
Perspectives on Psychological Science,1745-6916,http://www.jstor.org/journal/perspsycscie,Psychology,2006-03-01 - 2012-11-01,Psychology,Social Sciences,,,,,,,,,3/1/2006 0:00,2012,,,
Psychological Inquiry,1047-840X,http://www.jstor.org/journal/psycinqu,Psychology,1990-01-01 - 2010-10-01,Psychology,Social Sciences,,,,,,,,,1/1/1990 0:00,2010,,,
Psychological Science,0956-7976,http://www.jstor.org/journal/psychsci,Psychology,1990-01-01 - 2012-12-01,Psychology,Social Sciences,,,,,,,,,1/1/1990 0:00,2012,,,
Psychological Science in the Public Interest,1529-1006,http://www.jstor.org/journal/psychscipubint,Psychology,2000-05-01 - 2012-01-01,Psychology,Social Sciences,,,,,,,,,5/1/2000 0:00,2012,,,
San Francisco Jung Institute Library Journal,0270-6210,http://www.jstor.org/journal/sanfranjunginstj,Psychology,1979-09-01 - 2006-11-01,Psychology,Social Sciences,,,,,,,,,9/1/1979 0:00,2006,jungjcultpsyc,,
Social Psychology,0147-829X,http://www.jstor.org/journal/socialpsychology,Psychology,1978-03-01 - 1978-12-01,Psychology,Social Sciences,Sociology,,,,,,,,3/1/1978 0:00,1978,socipsycquar,sociometry,
Infection Control,0195-9417,http://www.jstor.org/journal/infectioncontrol,Public Health,1980-01-01 - 1987-12-01,Health Sciences,Medicine & Allied Health,Public Health,,,,,,,,1/1/1980 0:00,1987,infeconthospepid,,
Infection Control and Hospital Epidemiology,0899-823X,http://www.jstor.org/journal/infeconthospepid,Public Health,1988-01-01 - 2014-12-01,Health Sciences,Medicine & Allied Health,Public Health,,,,,,,,1/1/1988 0:00,2014,,infectioncontrol,
International Journal of Mental Health,0020-7411,http://www.jstor.org/journal/intejmentheal,Public Health,1972-04-01 - 2010-12-01,Health Sciences,Medicine & Allied Health,Psychology,Public Health,Social Sciences,,,,,,4/1/1972 0:00,2010,,,
"Journal of Health, Population and Nutrition",1606-0997,http://www.jstor.org/journal/jhealpopunutr,Public Health,2000-06-01 - 2012-12-01,Medicine & Allied Health,Public Health,,,,,,,,,6/1/2000 0:00,2012,,jdiardiseres,
Morbidity and Mortality,0091-0031,http://www.jstor.org/journal/morbmort,Public Health,1952-10-03 - 1976-08-01,Health Sciences,Medicine & Allied Health,Public Health,,,,,,,,10/3/1952 0:00,1976,morbmortweekrepo,weekmortinde,
Morbidity and Mortality Weekly Report,0149-2195,http://www.jstor.org/journal/morbmortweekrepo,Public Health,1976-03-19 - 2014-12-19,Health Sciences,Medicine & Allied Health,Public Health,,,,,,,,3/19/1976 0:00,2014,,morbmort,
Morbidity and Mortality Weekly Report: Recommendations and Reports,1057-5987,http://www.jstor.org/journal/mmwrrecorepo,Public Health,1989-06-16 - 2014-09-26,Health Sciences,Medicine & Allied Health,Public Health,,,,,,,,6/16/1989 0:00,2014,,mormorweerepsup,
Morbidity and Mortality Weekly Report: Supplement,2380-8950,http://www.jstor.org/journal/mormorweerepsup,Public Health,1985-10-18 - 1988-08-26,Health Sciences,Medicine & Allied Health,Public Health,,,,,,,,10/18/1985 0:00,1988,mmwrrecorepo,,
Morbidity and Mortality Weekly Report: Surveillance Summaries,1546-0738,http://www.jstor.org/journal/mmwrsurvsumm,Public Health,1983-01-01 - 2014-12-19,Health Sciences,Medicine & Allied Health,Public Health,,,,,,,,1/1/1983 0:00,2014,,,
"Recreation, Parks, and Tourism in Public Health",2474-1825,http://www.jstor.org/journal/recrparktourpubl,Public Health,2017-01-01 - 2018-01-01,Medicine & Allied Health,Public Health,,,,,,,,,1/1/2017 0:00,2018,,,
Administrative Theory & Praxis,1084-1806,http://www.jstor.org/journal/admintheoprax,Public Policy & Administration,1993-01-01 - 2010-12-01,Business,Business & Economics,Public Policy & Administration,Social Sciences,,,,,,,1/1/1993 0:00,2010,,dialogue,
Agenda: A Journal of Policy Analysis and Reform,1322-1833,http://www.jstor.org/journal/agenpolianalyref,Public Policy & Administration,1994-01-01 - 2018-01-01,Business & Economics,Economics,Public Policy & Administration,Social Sciences,,,,,,,1/1/1994 0:00,2018,,,
Dialogue,2154-2945,http://www.jstor.org/journal/dialogue,Public Policy & Administration,1978-09-01 - 1990-01-01,Business,Business & Economics,Public Policy & Administration,Social Sciences,,,,,,,9/1/1978 0:00,1990,admintheoprax,,
Journal of Information Policy,2381-5892,http://www.jstor.org/journal/jinfopoli,Public Policy & Administration,2011-01-01 - 2018-03-01,Communication Studies,Political Science,Social Sciences,,,,,,,,1/1/2011 0:00,2018,,,
Journal of Policy Analysis and Management,0276-8739,http://www.jstor.org/journal/jpolianalmana,Public Policy & Administration,1981-10-01 - 2012-10-01,Business,Business & Economics,Management & Organizational Behavior,Public Policy & Administration,Social Sciences,,,,,,10/1/1981 0:00,2012,,policyanalysis,
Journal of Public Administration Research and Theory: J-PART,1053-1858,http://www.jstor.org/journal/jpubladmiresethe,Public Policy & Administration,1991-01-01 - 2012-10-01,Political Science,Public Policy & Administration,Social Sciences,,,,,,,,1/1/1991 0:00,2012,,,
Minerva,0026-4695,http://www.jstor.org/journal/minerva,Public Policy & Administration,1962-10-01 - 2014-01-01,Education,General Science,Science & Mathematics,Social Sciences,,,,,,,10/1/1962 0:00,2014,,,
Policy Analysis,0098-2067,http://www.jstor.org/journal/policyanalysis,Public Policy & Administration,1975-01-01 - 1981-04-01,Business,Business & Economics,Management & Organizational Behavior,Public Policy & Administration,Social Sciences,,,,,,1/1/1975 0:00,1981,jpolianalmana,,
Policy Sciences,0032-2687,http://www.jstor.org/journal/policysciences,Public Policy & Administration,1970-04-01 - 2014-12-01,Political Science,Public Policy & Administration,Social Sciences,,,,,,,,4/1/1970 0:00,2014,,,
Public Administration Quarterly,0734-9149,http://www.jstor.org/journal/publadmiquar,Public Policy & Administration,1983-04-01 - 2015-12-01,Business,Business & Economics,Management & Organizational Behavior,Public Policy & Administration,Social Sciences,,,,,,4/1/1983 0:00,2015,,soutrevipubladmi,
Public Administration Review,0033-3352,http://www.jstor.org/journal/publadmirevi,Public Policy & Administration,1940-10-01 - 2012-11-01,Business,Business & Economics,Management & Organizational Behavior,Public Policy & Administration,Social Sciences,,,,,,10/1/1940 0:00,2012,,,
Public Affairs Quarterly,0887-0373,http://www.jstor.org/journal/publaffaq,Public Policy & Administration,1987-01-01 - 2014-10-01,Public Policy & Administration,Social Sciences,,,,,,,,,1/1/1987 0:00,2014,,,
Southern Review of Public Administration,0147-8168,http://www.jstor.org/journal/soutrevipubladmi,Public Policy & Administration,1977-06-01 - 1983-01-01,Business,Business & Economics,Management & Organizational Behavior,Public Policy & Administration,Social Sciences,,,,,,6/1/1977 0:00,1983,publadmiquar,,
Future of Children,1054-8289,http://www.jstor.org/journal/futurechildren,Public Policy & Administration,1991-04-01 - 2018-01-01,Public Policy & Administration,Social Sciences,,,,,,,,,4/1/1991 0:00,2018,,,
Journal of Environmental Assessment Policy and Management,1464-3332,http://www.jstor.org/journal/enviassepolimana,Public Policy & Administration,1999-03-01 - 2014-12-01,Environmental Science,Public Policy & Administration,Science & Mathematics,Social Sciences,,,,,,,3/1/1999 0:00,2014,,,
Journal of Natural Resources Policy Research,1939-0459,http://www.jstor.org/journal/naturesopolirese,Public Policy & Administration,2009-01-01 - 2015-10-01,Public Policy & Administration,Social Sciences,Sociology,,,,,,,,1/1/2009 0:00,2015,,,
Journal of Public Policy,0143-814X,http://www.jstor.org/journal/jpublicpolicy,Public Policy & Administration,1981-02-01 - 2012-12-01,Public Policy & Administration,Social Sciences,,,,,,,,,2/1/1981 0:00,2012,,,
Social Service Review,0037-7961,http://www.jstor.org/journal/sociservrevi,Public Policy & Administration,1927-03-01 - 2014-12-01,Public Policy & Administration,Social Sciences,Social Work,,,,,,,,3/1/1927 0:00,2014,,,
Society and Economy,1588-9726,http://www.jstor.org/journal/sociecon,Public Policy & Administration,2002-01-01 - 2012-03-01,Business,Business & Economics,Economics,Public Policy & Administration,Social Sciences,Sociology,,,,,1/1/2002 0:00,2012,,socecoceneeur,
Town Planning Review,0041-0020,http://www.jstor.org/journal/townplanrev,Public Policy & Administration,1910-04-01 - 2012-01-01,Public Policy & Administration,Social Sciences,,,,,,,,,4/1/1910 0:00,2012,,,
Annals of the American Academy of Political and Social Science,0002-7162,http://www.jstor.org/journal/annaameracadpoli,Social Sciences,1890-07-01 - 2014-11-01,Business & Economics,Economics,Political Science,Social Sciences,Sociology,,,,,,1890-07-01,2014,,,
International Social Science Review,0278-2308,http://www.jstor.org/journal/intesociscierevi,Social Sciences,1982-01-01 - 2013-01-01,Political Science,Social Sciences,Sociology,,,,,,,,1/1/1982 0:00,2013,,sociscience,
RSF: Russell Sage Foundation Journal of the Social Sciences,2377-8253,http://www.jstor.org/journal/rsf,Social Sciences,2015-11-01 - 2018-09-01,Business & Economics,Economics,Political Science,Social Sciences,Sociology,,,,,,11/1/2015 0:00,2018,,,
Social Science,0037-7848,http://www.jstor.org/journal/sociscience,Social Sciences,1925-11-01 - 1981-10-01,Political Science,Social Sciences,Sociology,,,,,,,,11/1/1925 0:00,1981,intesociscierevi,,
Voluntas: International Journal of Voluntary and Nonprofit Organizations,0957-8765,http://www.jstor.org/journal/voluntas,Social Sciences,1990-05-01 - 2014-12-01,Business,Business & Economics,Political Science,Public Policy & Administration,Social Sciences,Sociology,,,,,5/1/1990 0:00,2014,,,
British Journal of Social Work,0045-3102,http://www.jstor.org/journal/britjsociwork,Social Work,1971-01-01 - 2012-12-01,Social Sciences,Social Work,,,,,,,,,1/1/1971 0:00,2012,,britjpsycsociwor,
Journal of Comparative Family Studies,0047-2328,http://www.jstor.org/journal/jcompfamistud,Social Work,1970-10-01 - 2016-10-01,Social Sciences,Social Work,,,,,,,,,10/1/1970 0:00,2016,,,
Social Work,0037-8046,http://www.jstor.org/journal/socialwork,Social Work,1956-01-01 - 2012-10-01,Social Sciences,Social Work,,,,,,,,,1/1/1956 0:00,2012,,socialworkj,
Social Work Research,1070-5309,http://www.jstor.org/journal/sociworkrese,Social Work,1994-03-01 - 2012-12-01,Social Sciences,Social Work,,,,,,,,,3/1/1994 0:00,2012,,,
Acta Sociologica,0001-6993,http://www.jstor.org/journal/actasoci,Sociology,1955-01-01 - 2014-11-01,Social Sciences,Sociology,,,,,,,,,1/1/1955 0:00,2014,,,
American Journal of Economics and Sociology,0002-9246,http://www.jstor.org/journal/amerjeconsoci,Sociology,1941-10-01 - 2012-11-01,Business,Business & Economics,Economics,Social Sciences,Sociology,,,,,,10/1/1941 0:00,2012,,,
American Journal of Sociology,0002-9602,http://www.jstor.org/journal/amerjsoci,Sociology,1895-07-01 - 2014-11-01,Social Sciences,Sociology,,,,,,,,,1895-07-01,2014,,,
American Sociological Review,0003-1224,http://www.jstor.org/journal/amersocirevi,Sociology,1936-02-01 - 2015-12-01,Social Sciences,Sociology,,,,,,,,,2/1/1936 0:00,2015,,,
American Sociologist,0003-1232,http://www.jstor.org/journal/amersociologist,Sociology,1965-11-01 - 2014-12-01,Social Sciences,Sociology,,,,,,,,,11/1/1965 0:00,2014,,,
