publication_title,print_identifier,title_url,primary_subject,full_coverage,0,1,2,3,4,5,6,7,8,9,date_first_issue_online,date_last_issue_online,parent_publication_title_id,preceding_publication_title_id,
Irish Archaeological Research Forum,0959-4280,http://www.jstor.org/journal/irisarchreseforu,Archaeology,1974-01-01 - 1978-01-01,Archaeology,Social Sciences,,,,,,,,,1/1/1974 0:00,1978,jirisarch,,
Israel Exploration Journal,0021-2059,http://www.jstor.org/journal/israexplj,Archaeology,1950-01-01 - 2014-01-01,Archaeology,Social Sciences,,,,,,,,,1/1/1950 0:00,2014,,,
Journal of African Archaeology,1612-1651,http://www.jstor.org/journal/jafriarch,Archaeology,2003-01-01 - 2014-01-01,Archaeology,Social Sciences,,,,,,,,,1/1/2003 0:00,2014,,,
Journal of Archaeological Method and Theory,1072-5369,http://www.jstor.org/journal/jarchmeththeo,Archaeology,1994-03-01 - 2014-12-01,Archaeology,Social Sciences,,,,,,,,,3/1/1994 0:00,2014,,archmeththeo,
Journal of Archaeological Research,1059-0161,http://www.jstor.org/journal/jarchrese,Archaeology,1993-03-01 - 2014-12-01,Archaeology,Social Sciences,,,,,,,,,3/1/1993 0:00,2014,,,
Journal of Cuneiform Studies,0022-0256,http://www.jstor.org/journal/jcunestud,Archaeology,1947-01-01 - 2014-01-01,Archaeology,Area Studies,Humanities,Language & Literature,Middle East Studies,Social Sciences,,,,,1/1/1947 0:00,2014,,,
Journal of Eastern Mediterranean Archaeology & Heritage Studies,2166-3548,http://www.jstor.org/journal/jeasmedarcherstu,Archaeology,2013-02-01 - 2014-11-01,Archaeology,Social Sciences,,,,,,,,,2/1/2013 0:00,2014,,,
Journal of Egyptian Archaeology,0307-5133,http://www.jstor.org/journal/jegyparch,Archaeology,1914-01-01 - 2014-01-01,Archaeology,Social Sciences,,,,,,,,,1/1/1914 0:00,2014,,archreport,
Journal of Field Archaeology,0093-4690,http://www.jstor.org/journal/jfielarch,Archaeology,1974-01-01 - 2010-12-01,Archaeology,Social Sciences,,,,,,,,,1/1/1974 0:00,2010,,,
Journal of Hellenic Studies,0075-4269,http://www.jstor.org/journal/jhellenicstudies,Archaeology,1880-01-01 - 2014-01-01,Archaeology,Classical Studies,Humanities,Social Sciences,,,,,,,1880-01-01,2014,,,
Journal of Irish Archaeology,0268-537X,http://www.jstor.org/journal/jirisarch,Archaeology,1983-01-01 - 2016-01-01,Archaeology,Social Sciences,,,,,,,,,1/1/1983 0:00,2016,,irisarchreseforu,
Journal of Maritime Archaeology,1557-2285,http://www.jstor.org/journal/jmariarch,Archaeology,2006-01-01 - 2014-12-01,Archaeology,Social Sciences,,,,,,,,,1/1/2006 0:00,2014,,,
Journal of Near Eastern Studies,0022-2968,http://www.jstor.org/journal/jneareaststud,Archaeology,1942-01-01 - 2014-10-01,Archaeology,Area Studies,Middle East Studies,Social Sciences,,,,,,,1/1/1942 0:00,2014,,amerjsemilanglit,
Journal of Roman Studies,0075-4358,http://www.jstor.org/journal/jromanstudies,Archaeology,1911-01-01 - 2014-01-01,Archaeology,Classical Studies,Humanities,Social Sciences,,,,,,,1/1/1911 0:00,2014,,,
Journal of the American Research Center in Egypt,0065-9991,http://www.jstor.org/journal/jamerresecentegy,Archaeology,1962-01-01 - 2012-01-01,Archaeology,Social Sciences,,,,,,,,,1/1/1962 0:00,2012,,,
Journal of the County Louth Archaeological and Historical Society,0070-1327,http://www.jstor.org/journal/jcoloarchhistsoc,Archaeology,1970-01-01 - 2014-01-01,Archaeology,History,History,Social Sciences,,,,,,,1/1/1970 0:00,2014,,jcounloutarchsoc,
Journal of the Galway Archaeological and Historical Society,0332-415X,http://www.jstor.org/journal/jgalarchhistsoc,Archaeology,1900-01-01 - 2013-01-01,Archaeology,History,History,Social Sciences,,,,,,,1/1/1900 0:00,2013,,,
Journal of the Royal Society of Antiquaries of Ireland,0035-9106,http://www.jstor.org/journal/jroysocantirel,Archaeology,1890-03-01 - 2012-01-01,Archaeology,Area Studies,History,History,Irish Studies,Social Sciences,,,,,1890-03-01,2012,,jroyhistarchassi,
Journal of World Prehistory,0892-7537,http://www.jstor.org/journal/jworlprehist,Archaeology,1987-03-01 - 2014-12-01,Archaeology,History,History,Social Sciences,,,,,,,3/1/1987 0:00,2014,,,
Kiva,0023-1940,http://www.jstor.org/journal/kiva,Archaeology,1935-05-01 - 2010-12-01,Archaeology,Social Sciences,,,,,,,,,5/1/1935 0:00,2010,,,
Latin American Antiquity,1045-6635,http://www.jstor.org/journal/latiameranti,Archaeology,1990-03-01 - 2014-12-01,Anthropology,Archaeology,Area Studies,Latin American Studies,Social Sciences,,,,,,3/1/1990 0:00,2014,,,
Lithic Technology,0197-7261,http://www.jstor.org/journal/lithtech,Archaeology,1977-04-01 - 2010-10-01,Archaeology,Social Sciences,,,,,,,,,4/1/1977 0:00,2010,,newslithtech,
Mediterranean Archaeology,1030-8482,http://www.jstor.org/journal/mediarch,Archaeology,1988-01-01 - 2015-01-01,Archaeology,Social Sciences,,,,,,,,,1/1/1988 0:00,2015,,,
Memoirs of the Society for American Archaeology,0081-1300,http://www.jstor.org/journal/memosociamerarch,Archaeology,1941-01-01 - 1976-01-01,Anthropology,Archaeology,Social Sciences,,,,,,,,1/1/1941 0:00,1976,,,
Midcontinental Journal of Archaeology,0146-1109,http://www.jstor.org/journal/midcontjarch,Archaeology,1976-01-01 - 2010-10-01,Archaeology,Social Sciences,,,,,,,,,1/1/1976 0:00,2010,,,
Museum Helveticum,0027-4054,http://www.jstor.org/journal/museumhelveticum,Archaeology,1944-01-01 - 2015-12-01,,Classical Studies,Humanities,Social Sciences,,,,,,,1/1/1944 0:00,2015,,,
Museum Notes (American Numismatic Society),0145-1413,http://www.jstor.org/journal/musenoteamernumi,Archaeology,1945-01-01 - 1988-01-01,Archaeology,Art & Art History,Arts,Classical Studies,Humanities,Social Sciences,,,,,1/1/1945 0:00,1988,amerjnumi1989,amerjnumi1897,
Ñawpa Pacha: Journal of Andean Archaeology,0077-6297,http://www.jstor.org/journal/nawppach,Archaeology,1963-01-01 - 2010-12-01,Archaeology,Social Sciences,,,,,,,,,1/1/1963 0:00,2010,,,
Near Eastern Archaeology,1094-2076,http://www.jstor.org/journal/neareastarch,Archaeology,1998-03-01 - 2014-12-01,Archaeology,Area Studies,Classical Studies,Humanities,Middle East Studies,Religion,Social Sciences,,,,3/1/1998 0:00,2014,,biblarch,
Newsletter of Lithic Technology,2473-1285,http://www.jstor.org/journal/newslithtech,Archaeology,1972-01-01 - 1976-12-01,Archaeology,Social Sciences,,,,,,,,,1/1/1972 0:00,1976,lithtech,,
Numismatic Chronicle (1966-),0078-2696,http://www.jstor.org/journal/numischron,Archaeology,1966-01-01 - 2014-01-01,Archaeology,Art & Art History,Arts,Social Sciences,,,,,,,1/1/1966 0:00,2014,,numchrjroynumsoc,
